Company,ASML Holding N.V.,Adobe Inc.,"Advanced Micro Devices, Inc.","Airbnb, Inc.",Alphabet Inc. (Class A),Alphabet Inc. (Class C),"Amazon.com, Inc.","American Electric Power Company, Inc.",Amgen Inc.,"Analog Devices, Inc.",AppLovin Corporation,Apple Inc.,"Applied Materials, Inc.",Arm Holdings plc,AstraZeneca plc,Atlassian Corporation Plc,"Autodesk, Inc.","Automatic Data Processing, Inc.","Axon Enterprise, Inc.",Baker Hughes Company,Biogen Inc.,Booking Holdings Inc.,Broadcom Inc.,CDW Corporation,CSX Corporation,"Cadence Design Systems, Inc.","Charter Communications, Inc.",Cintas Corporation,"Cisco Systems, Inc.","CoStar Group, Inc.",Coca-Cola Europacific Partners,Cognizant Technology Solutions Corporation,Comcast Corporation,"Constellation Energy, Inc.","Copart, Inc.",Costco Wholesale Corporation,"CrowdStrike Holdings, Inc.","Datadog, Inc.","DexCom, Inc.","Diamondback Energy, Inc.","DoorDash, Inc.",Electronic Arts Inc.,Exelon Corporation,Fastenal Company,"Fortinet, Inc.",GE Healthcare,"Gilead Sciences, Inc.",GlobalFoundries Inc.,Honeywell International Inc.,"Idexx Laboratories, Inc.",Intel Corporation,Intuit Inc.,"Intuitive Surgical, Inc.",KLA Corporation,Keurig Dr Pepper Inc.,Lam Research Corporation,Linde plc,Lululemon Athletica Inc.,"Marriott International, Inc.","Marvell Technology, Inc.","MercadoLibre, Inc.","Meta Platforms, Inc.",MicroStrategy Incorporated,Microchip Technology Inc.,"Micron Technology, Inc.",Microsoft Corporation,"Mondelez International, Inc.",Monster Beverage Corporation,NVIDIA Corporation,NXP Semiconductors N.V.,"Netflix, Inc.","O'Reilly Automotive, Inc.",ON Semiconductor Corporation,"Old Dominion Freight Line, Inc.",PACCAR Inc.,PDD Holdings Inc.,Palantir Technologies Inc.,"Palo Alto Networks, Inc.","PayPal Holdings, Inc.","Paychex, Inc.","PepsiCo, Inc.",QUALCOMM Incorporated,"Regeneron Pharmaceuticals, Inc.","Roper Technologies, Inc.","Ross Stores, Inc.",Shopify Inc.,Starbucks Corporation,"Synopsys, Inc.","T-Mobile US, Inc.","Take-Two Interactive Software, Inc.","Tesla, Inc.",Texas Instruments Incorporated,The Kraft Heinz Company,"The Trade Desk, Inc.","Verisk Analytics, Inc.",Vertex Pharmaceuticals Incorporated,"Warner Bros. Discovery, Inc.","Workday, Inc.",Xcel Energy Inc.,"Zscaler, Inc."
ASML Holding N.V.,0.0006859917648497192,0.000150689198555671,0.0004686306955194188,0.00019174707394958884,0.00012640128666345168,0.00012558184855196284,0.0002079584325955163,-4.6148083048783046e-05,6.089820611100848e-05,0.00029017605734147473,0.00036519638799513936,0.00011727901406861589,0.000542656832775906,0.0006045334818026415,4.211871051099615e-05,0.00020601070062520766,0.00019587750540224017,2.6564710570710706e-05,0.0001233844354457321,5.2170064606141716e-05,6.552214318421378e-05,0.00016101585967920936,0.0004584634199287445,0.00014581749244431698,5.513894490836883e-05,0.0003374617823219855,3.883445132135649e-05,8.358571782950009e-05,3.646054267701015e-05,9.551596265945291e-05,6.203834622601596e-05,6.903999065899143e-05,2.7285193328334187e-05,0.0002558381723910299,0.00012526559185303216,0.00010097951322385467,0.00027516037956899574,0.0002475989540954988,7.492729322268825e-05,7.86892062426828e-05,0.00020020420494121615,7.238074503261032e-05,-5.38254933590129e-05,8.051712443939428e-05,9.965906627062767e-05,0.00012076434275855159,-2.313496876906794e-05,0.0002800806598550405,6.436093693635196e-05,0.0001584011297315218,0.00034437140567549786,0.00016589631781884027,0.0001755392733881655,0.0005644203578925233,-1.2644948027742702e-05,0.0005479946167621894,5.081848051780501e-05,0.000156881238250803,0.00012596471762467908,0.0004640777739111346,0.00012971838533741063,0.00022390138880362787,0.00035511883054135604,0.0003774161150009517,0.0004315307599572609,0.00014569050560651143,-2.4817186417736767e-05,3.8361942634325944e-07,0.0004724984902673456,0.0003561099797505179,0.0002131474971884031,1.9897542334927502e-05,0.0004160218976724071,0.00015975345520767835,0.00013048985249644994,0.0001903415359758679,0.00031177633887788543,0.00015276897123769713,0.0001451249269198685,2.6400757679810705e-05,-3.1845129726595024e-05,0.0003936003317061618,6.740067596680527e-05,7.86170073046112e-05,8.351131139278308e-05,0.00030593852949763883,9.048298450875037e-05,0.000354060660640013,1.3795122991750554e-05,0.00010105631404660062,0.00024243411754413857,0.00022614280874818594,-3.916258272006539e-05,0.0002550215578097709,-2.7406986753574456e-06,6.526106794017574e-05,9.328854588658002e-05,0.00011463256620354059,-5.8556745489069435e-05,0.00024355005482610642
Adobe Inc.,0.000150689198555671,0.0004872967359439777,0.00016942624625473327,0.00012121020383587563,0.00014227727894351353,0.00014136054700429694,0.00017792956135905083,-9.552507803376654e-06,4.736215813248973e-05,9.820342411324793e-05,0.0001402839438420831,7.315095101776278e-05,0.00015555044907765572,0.00017982278890040795,8.126070465531686e-06,0.00020180860078217443,0.0001316141695978419,6.103977675470798e-05,8.402287631767301e-05,6.34384050719283e-06,3.999423409571554e-05,8.332827898645785e-05,0.00020215567344575538,5.368530056006364e-05,5.263252222710869e-05,0.00019739560054636131,8.17847480498545e-05,7.39938999141283e-05,7.19153613502507e-05,3.8843124667425574e-05,2.9817529523779845e-05,7.268573204564783e-05,4.541580587067839e-05,5.498111066118487e-05,0.00011001554175755614,8.375026771447204e-05,0.00019732745521669105,0.00019075625729935884,5.546641023782623e-05,-2.871057565669865e-06,0.00012301342168386051,6.977533594752901e-05,7.124203545583837e-06,4.9078875650797863e-05,9.665869465040773e-05,4.147257526315036e-05,4.527193892279552e-05,0.0001767491662318597,5.028859544321076e-05,8.532481097267382e-05,0.00014169098478088312,0.00017056575707928773,7.93290930572583e-05,0.0001637361856581864,2.1361817352932824e-05,0.00017491239516030546,3.6936676472009594e-05,0.00012471022418393738,7.788650927152046e-05,0.00021329748639973883,0.00010799694483201018,0.00014899933095090473,0.00015794098199036237,0.0001207721865383354,0.00013103560907993785,0.00012780942563044752,1.3212599233995564e-05,3.63713648172262e-05,0.00021168387948516511,0.00011107921867370496,0.00013214085095878607,4.662841515968679e-05,0.00010863242174025772,0.00010532989820886518,6.62808983758301e-05,1.2260463868691477e-05,0.0001727072746079892,0.00017729949814559567,9.712057865535827e-05,5.700257431334919e-05,2.194311210690978e-05,0.0001231887725124222,6.848092917258757e-05,9.110936862320258e-05,5.2539971851655676e-05,0.00026948301222365963,4.338091862176431e-05,0.0001935651873657657,4.192108563294423e-05,6.457224405405457e-05,0.0001250512498598847,6.975269993991543e-05,-3.7130089751757664e-06,9.401958127949231e-05,5.339033081738204e-05,4.833733187703779e-05,-5.681634159789934e-05,0.0001576003260102687,-6.033364335694608e-06,0.00021249975422584332
"Advanced Micro Devices, Inc.",0.0004686306955194188,0.00016942624625473327,0.0008680360042199193,0.00024041858497030606,0.00018839005855351092,0.00018568814539124013,0.00021676375209237836,-3.651093075392957e-05,6.875168143019068e-05,0.0002954670553075227,0.00038267769321721274,0.000122212791409399,0.00046872425365607266,0.0005589144444386021,5.207110508859785e-06,0.00015802003737975964,0.00018350162102154962,2.877355138449905e-05,0.0001488169058594054,3.8726122438590206e-05,7.218014394177596e-05,0.00017092008194496126,0.0004519978611396463,0.0002205842526348754,5.5673558171950595e-05,0.00032125463468120693,3.953185130593628e-05,0.00011200617300853808,7.710858708730194e-05,0.00011961419348860461,3.4954645293380116e-05,8.816110663992802e-05,7.540571355198695e-05,0.0002640369583723551,0.0001424596546233254,0.00011178377075195943,0.00029438762434279807,0.0002844281853060432,0.0001743917572422114,3.520377850978292e-05,0.00026528097978878603,8.471148506358497e-05,-3.495553187777245e-05,0.00010513821352727108,9.14792548017931e-05,0.00010573202282346368,2.979941780128144e-05,0.00036607705757551686,7.152571735090663e-05,0.0001395258962088321,0.0003678690223563034,0.00017303158319557422,0.00018092109286907982,0.00047611396433882083,-1.3031748535067385e-05,0.00047533185637644936,6.107442813567559e-05,0.00012067812945912586,0.0001557805986666447,0.0005499614445683244,0.00023777444308765273,0.0002699755446864881,0.00043309123335954363,0.00034599813560457735,0.0004104059402480941,0.0001481151975424088,1.1400043113606697e-05,2.3780688617112415e-05,0.0005205549002486765,0.00035990885444777006,0.00019791041308723714,4.5762105516255205e-05,0.00041353977908911444,0.00014998302444089065,0.00013260554054813058,0.00017207269891285836,0.00029698061382171277,0.00018170231509200956,0.0001471748725619884,3.729244188949081e-05,-3.0449008022226458e-05,0.0003743233878191832,7.132840119033313e-05,9.337110494409807e-05,8.205433779579697e-05,0.0002855446039853856,0.00013872161845856413,0.00034195836805292495,3.738225597546431e-05,0.00011941334517522456,0.0002954056396869082,0.00023840131012962886,-3.6276083786891305e-07,0.00024020717169846332,3.4200437670768754e-06,5.8627479052184036e-05,9.78335582570749e-05,0.00010708004578830416,-7.800918303103513e-05,0.0002406775550631813
"Airbnb, Inc.",0.00019174707394958884,0.00012121020383587563,0.00024041858497030606,0.0004648109861496039,0.00013158964585950825,0.00013414705572120783,0.00015681757371044036,2.1652707260089114e-06,7.219752564509597e-05,0.0001615776176416194,0.0003007288313919296,7.43754375644716e-05,0.00019762198951919267,0.0004242235758279313,1.3392400167084056e-05,0.00019593775453323448,0.00014047618855445298,3.285877816272333e-05,-1.5613158904247627e-05,6.985315178582724e-05,7.077058234763785e-05,0.00014126972450830564,0.0001848262926792519,0.00010006897743292769,5.5473282537875856e-05,0.0001799476908940355,0.00010675960619482928,5.4494575706704175e-05,7.262722472251742e-05,0.0001127786547198246,3.451369104695863e-05,8.696499456334154e-05,7.826692577359564e-05,0.00011800686876965994,0.00010072547775528256,6.781619476128635e-05,0.00017425299067596806,0.00021501218785016592,0.00016672970113055727,6.3825966359332e-05,0.00018725633987932348,4.0201735882668254e-05,-4.149585903060498e-06,4.90988854788751e-05,-5.8976208190940134e-05,0.00013209057191278174,4.4232220221155235e-05,0.00019627213232847697,6.364904115722536e-05,0.00011742718663675903,0.00018986463089427582,0.0001253321952828952,9.888691777262985e-05,0.00019434879319458754,2.803148399351221e-05,0.00021184302490441138,4.560530114094591e-05,0.0001561583956694159,0.00014603535569313852,0.0002569347338275623,0.00010609749726786233,0.00015764954989069875,0.0003401889187965459,0.00021708058478836606,0.00018735350762651596,9.469428689833479e-05,1.7033443247284577e-05,5.833575602384671e-05,0.0002446107480664678,0.0001950153764248829,0.00010782341178845059,1.3335503894832747e-05,0.0002239038486160804,0.00010961156566467496,8.558950904375713e-05,0.00011879700744364518,0.00025340281373540177,0.00011901591940509702,0.00014800685343509127,4.6479642157361364e-05,1.4395649109283936e-05,0.00016910736564311989,2.9631555440012613e-05,7.385671114538984e-05,7.95744148806407e-05,0.00013540849497840129,6.3760594208149e-05,0.0001911094571056826,1.945876537812349e-05,9.856435001676579e-05,0.0002126438212097887,0.0001373996737247216,1.9213259402759056e-05,0.00021353255229996648,7.841517945593848e-06,4.226495484978906e-05,0.0002108857603631292,9.948586131935358e-05,-1.1802558329256675e-05,0.0001708575297314534
Alphabet Inc. (Class A),0.00012640128666345168,0.00014227727894351353,0.00018839005855351092,0.00013158964585950825,0.0003143990888708973,0.0003114308426947398,0.0001802707528870949,-1.881854148814251e-05,2.7303007350210453e-05,0.00010203211271230207,0.00022965366547028025,9.308731601237683e-05,0.00013542606881111662,0.00021005876585743547,7.382984035426507e-06,0.00010423839147337803,8.835502131568655e-05,4.225689263962798e-05,5.623478827139487e-05,3.9684700720893685e-05,4.196541214085181e-05,8.198622815657023e-05,0.00016667566676340298,3.9433967451468404e-05,3.0456141927176627e-05,0.00014180326733026548,7.307512208732553e-05,5.0876868458020605e-05,5.3308895498801406e-05,6.204750634495591e-05,7.225958189199007e-06,5.789511378490181e-05,5.471986064309552e-05,9.543971367643667e-05,7.214872873448809e-05,5.115906890407612e-05,0.00013948882230854916,0.00013052155439128384,2.930375789068744e-05,1.1978802925223467e-05,0.00012712131812677775,4.223355875101806e-05,-1.1601444960470433e-05,3.5041719462818835e-05,7.101868231883368e-05,5.581159870856628e-05,1.7541376058794938e-05,0.00015161617125340865,5.76505268660736e-05,8.665268779516077e-05,0.0001226825666336978,0.00011509388674752617,8.548170843085465e-05,0.00014329509726911156,9.631943502528016e-06,0.00014957223266120193,2.6265330002170352e-05,8.164841682153432e-05,7.667920889240007e-05,0.00017955988185089795,9.961185472601977e-05,0.00017032212752472118,0.00019900712431628046,0.00012183240251743473,0.00012186198600480941,0.00011690953638118842,1.265880212105602e-05,1.856801157408097e-05,0.00019494563974032297,0.00012013925498471559,0.00010479974180514696,1.701469836692285e-05,0.00014612301939001806,4.1384262901420864e-05,3.741216966647731e-05,8.944349094323621e-05,0.00015088211048262112,0.00011470701704152311,0.00010515327745407236,3.859251688280429e-05,-3.7252346952357933e-06,0.00012430044566111664,4.626279294967555e-05,6.508149021171994e-05,3.112099878461219e-05,0.00019058109290667673,3.9162666082941904e-05,0.00015638301323283208,1.3373207935410004e-05,6.8608591109009e-05,0.00017112119152771127,8.195092888173119e-05,-1.0647940405381635e-05,0.00015103836768243147,2.713066500422559e-05,4.6026289124935774e-05,7.744370977200729e-05,7.639401931793565e-05,-1.188576872351992e-05,0.00015688962268291793
Alphabet Inc. (Class C),0.00012558184855196284,0.00014136054700429694,0.00018568814539124013,0.00013414705572120783,0.0003114308426947398,0.0003097399410171124,0.00017838292530276555,-1.741964129389689e-05,2.8602387735094582e-05,0.00010217431463082218,0.00022407460369403806,9.291026153439649e-05,0.0001354703650891232,0.00021079129474312058,8.603566533192165e-06,0.00010541308387408499,8.888543302252161e-05,4.327985733885575e-05,5.4426311650786846e-05,4.1575924365371086e-05,4.259863932299196e-05,8.201363375783617e-05,0.00016564642470636766,3.910090388826443e-05,3.118268940693582e-05,0.0001413258102869284,7.267468621923014e-05,5.24975374767771e-05,5.390415901180709e-05,6.340430343380814e-05,7.750766084685218e-06,5.798675104726869e-05,5.53075117084206e-05,9.733383942217387e-05,7.228895745585289e-05,5.0485804798238016e-05,0.00013980922247618034,0.00013306934831913326,3.098662942699482e-05,1.5507566608564886e-05,0.0001255665034366365,4.287821297827462e-05,-9.846556491433001e-06,3.546513044922286e-05,6.711431190397457e-05,5.5234843688879786e-05,1.6983166437392463e-05,0.000152450834537045,5.688869817732224e-05,8.718704581770548e-05,0.00012305426305460904,0.00011451478711560022,8.430107517978036e-05,0.00014349198593672027,1.0516475885134937e-05,0.00014917642723950178,2.584715739137841e-05,8.343957707220233e-05,7.730638632357764e-05,0.00017852549806168094,0.00010030884433667745,0.00016720841766689574,0.00019735861275382106,0.00012087777455374123,0.00012292629350586312,0.00011606871471310039,1.2965560109798095e-05,1.9494040853564835e-05,0.00019397572858001315,0.00011992291341384704,0.00010345754437183053,1.7357699059130386e-05,0.0001454813923748885,4.36303006954634e-05,3.8117026110732826e-05,8.722654723206078e-05,0.00015238482905825232,0.00011230710915301895,0.00010459201055083748,3.9171128278639476e-05,-2.995809485550612e-06,0.00012383564409787124,4.467783721658155e-05,6.527712558669894e-05,3.11460208710946e-05,0.00018776382503265265,4.116973958655208e-05,0.00015607948380453443,1.41988936096819e-05,6.925768915275388e-05,0.00017188603802992947,8.300572207588626e-05,-1.0323541850147304e-05,0.00015257340546660891,2.6243149295961874e-05,4.732799218865997e-05,7.917961216888815e-05,7.805655088345558e-05,-1.026001783887639e-05,0.0001571202015378493
"Amazon.com, Inc.",0.0002079584325955163,0.00017792956135905083,0.00021676375209237836,0.00015681757371044036,0.0001802707528870949,0.00017838292530276555,0.0003247583239331677,-1.6876677998720486e-05,2.800329926758986e-05,0.00011931106941609277,0.0002897266995647875,9.379844990340637e-05,0.0001942937108077255,0.0002879254977547491,5.502878501750909e-06,0.00020710309459184002,0.00012651856682935694,3.6658408946132146e-05,9.937527399191114e-05,3.853809770548202e-05,2.737590355687614e-05,0.00011407575678411576,0.00023664060222065302,6.649172399342412e-05,4.755801289408571e-05,0.00019697825321743795,4.585900313975114e-05,6.7395414415831e-05,7.51215496367098e-05,7.494857337233995e-05,2.3724751200686425e-05,6.985277613815882e-05,4.331325671450332e-05,0.00013606227273931507,9.101646013050691e-05,7.911794678374039e-05,0.00021530261734713704,0.00022445094742800208,4.487553865733312e-05,1.5616138729606627e-05,0.0001433050355077358,4.5784859717346556e-05,-2.0047316256032304e-05,6.595556385746922e-05,0.00010417271714755952,6.646167333862085e-05,1.9877754304841688e-05,0.00017513895986473094,5.6343014149219515e-05,9.896411146374765e-05,0.0002393170818627191,0.00014702590429800262,0.00010874661284880953,0.00019512878556136894,4.948714884257014e-06,0.0002049809209055389,3.8013595253608635e-05,0.0001425916482879907,9.130275268882572e-05,0.00026735137287992755,9.856527843054327e-05,0.0002354619925709333,0.00021430097566161444,0.00014647285557358982,0.0001792790500627578,0.0001465357331540933,-1.5996548325023125e-06,3.8582495983067074e-05,0.0002589246187787328,0.0001285803585863062,0.00012889385363836078,3.479003478936919e-05,0.0001550854485619094,0.0001181994091245852,6.240830183666068e-05,8.635096794871852e-05,0.00023137086797899876,0.0001634068472491664,0.00011741903036494139,3.664137630302408e-05,-9.203745821605783e-06,0.00015503353887189373,4.980353777759417e-05,7.281662420818249e-05,6.090899497811058e-05,0.00027954389600080414,4.22799707343996e-05,0.00019810949956282635,1.5314333719217966e-05,6.680803054645352e-05,0.00020917952378341116,9.441458112586694e-05,-2.183994220482879e-05,0.000187076900016397,1.733797393836253e-05,4.3455109469379785e-05,8.491782031005041e-05,0.00012820800093048127,-2.4490021482956453e-05,0.00021344887352330738
"American Electric Power Company, Inc.",-4.6148083048783046e-05,-9.552507803376654e-06,-3.651093075392957e-05,2.1652707260089114e-06,-1.881854148814251e-05,-1.741964129389689e-05,-1.6876677998720486e-05,0.00015265503745738143,4.20210111164029e-05,-2.7216226456600447e-06,1.2385176552652885e-05,8.931220078336822e-06,-5.824278564806283e-05,-9.120489571689335e-05,3.550892106911902e-05,2.2342398945090214e-05,1.8693304665371612e-06,2.5426592963270536e-05,2.1335100926033137e-05,1.5946089519129268e-05,4.850703250293334e-05,-8.114362211960477e-06,-6.266776583171888e-05,1.9360601396608177e-06,2.8122534296622888e-05,-5.099087434076192e-05,5.1003040349546545e-05,3.169406121689322e-05,1.517866998947504e-05,5.617129675680949e-05,3.830407108085202e-05,2.768164353889718e-05,2.6685263230306658e-05,4.1142709990504716e-05,6.641245326439309e-06,1.9369005173613706e-06,-5.378152361051582e-05,-3.365800238945401e-05,-2.925519796401616e-06,2.0204674504426892e-05,1.1104114189129956e-05,1.6798387848167686e-05,0.00010652214284244521,-3.521371018429738e-07,1.763417193849875e-05,4.1383801548986113e-05,4.11848297593952e-05,-3.0706905808326933e-06,3.0537776554502155e-05,2.356380055262117e-05,5.864159830891428e-06,3.635313819141771e-06,6.864115726655752e-06,-5.5025911496904236e-05,3.938800037825184e-05,-5.66918959836287e-05,1.842081367918065e-05,3.442781539637554e-06,-4.290791971827622e-06,-3.845909540893363e-05,1.87057416716831e-05,-2.3215156059226513e-05,-3.6292837450581155e-05,9.000535471726694e-06,-4.8453208054444365e-05,-9.719283617298276e-06,5.161118887521493e-05,4.600594551453999e-05,-8.388241989138488e-05,-9.545321891112392e-06,-1.554557294222458e-05,1.2590889812044373e-05,-6.155387401643194e-06,-6.800459430104559e-07,1.533186141797403e-05,-8.468927671082198e-06,3.340249661421166e-05,-2.845871335606602e-05,4.249604665377082e-05,2.4293870132712135e-05,4.888068997555207e-05,-3.674287680222035e-05,2.3497086806188857e-05,2.1368777676638522e-05,3.1763370441074314e-05,1.0183124703068124e-05,2.4395478063498676e-05,-5.0924240697099326e-05,2.443812551623176e-05,-8.639295924544981e-07,-1.1415671549454473e-05,1.3701383821632822e-05,5.66674403761567e-05,2.5758371941904283e-06,2.728558645943882e-05,4.292356699224162e-05,0.00011524240116063652,1.1919557935841256e-06,9.465101833014862e-05,-1.0126928031687773e-05
Amgen Inc.,6.089820611100848e-05,4.736215813248973e-05,6.875168143019068e-05,7.219752564509597e-05,2.7303007350210453e-05,2.8602387735094582e-05,2.800329926758986e-05,4.20210111164029e-05,0.00024393700628638505,6.171919369097255e-05,5.541215996959375e-05,4.667312060295177e-05,7.451234259000422e-05,6.476693903834648e-05,4.1057265912995375e-05,5.759095376383101e-05,7.648380381240049e-05,3.796422252825311e-05,3.36048841425465e-05,4.543206730622265e-05,0.00010298601852300483,5.240828120185164e-05,5.285283918818141e-05,4.772634599617848e-05,5.952417674024162e-05,7.121072162449343e-05,8.898975974817843e-05,4.2931987127685954e-05,4.74062022316396e-05,8.229810496525444e-05,5.55787124439015e-05,5.246468748982508e-05,6.380435876704223e-05,5.014953957776416e-05,6.160509703188312e-05,3.7458388645990024e-05,3.805049959994073e-05,2.0258966166089772e-05,1.775263464629623e-05,4.2526074596294615e-05,3.156726826337548e-05,3.567829879030796e-05,3.856763756668968e-05,5.013680148519409e-05,-5.963200709576819e-05,6.4466373009488e-05,6.75770555464561e-05,8.121822318289334e-05,3.3281921396514786e-05,8.193624603517049e-05,8.212952426547797e-05,5.1254524570714484e-05,4.211945663812713e-05,7.478969039762715e-05,3.4192635295204864e-05,7.123871421114183e-05,2.757709490902571e-05,6.767387916250441e-05,4.508974689944191e-05,5.7008114959773546e-05,6.156026490399091e-05,3.4706111005004785e-05,0.00016795762352653267,9.577326259961235e-05,6.999985135141723e-05,2.5739739817928987e-05,3.443631555921198e-05,4.10055753062856e-05,3.240991982564056e-05,7.843040788050375e-05,1.0632201209725336e-05,2.2944302919277673e-05,8.878504284850973e-05,7.561923100770137e-05,5.555800067164614e-05,4.024056498501984e-05,6.535338748516338e-05,2.4903714815577957e-05,6.91205231390449e-05,4.92867588512209e-05,4.4479941736529144e-05,3.810942162625633e-05,7.097239647832287e-05,5.273561002412216e-05,4.9994242206587695e-05,-1.05102687016891e-05,3.3245812490408684e-05,7.108618062536173e-05,1.958163816340901e-05,3.6553094824175944e-05,6.365309459093785e-05,6.290866434775282e-05,5.878690593902562e-05,2.5836778384286545e-05,3.828916095551246e-05,7.727734233055113e-05,0.00010145600959685231,5.19259307706998e-05,4.819422320683738e-05,4.1639713964922684e-05
"Analog Devices, Inc.",0.00029017605734147473,9.820342411324793e-05,0.0002954670553075227,0.0001615776176416194,0.00010203211271230207,0.00010217431463082218,0.00011931106941609277,-2.7216226456600447e-06,6.171919369097255e-05,0.00035702727870082186,0.00019333031822381744,8.927514953829338e-05,0.0003093833604622478,0.0004255418327177337,3.956451535266503e-05,0.0001497041934840477,0.00014309994697193136,5.93557673881084e-05,6.792648467898037e-05,8.551573901661296e-05,8.811796892138683e-05,0.00010561044324875956,0.00027506989173796496,0.00016089837153815536,8.282022694882319e-05,0.0002093309959781727,6.49852541961112e-05,8.75446154351863e-05,8.092503786710855e-05,0.00013182341097257,4.1108032981824405e-05,9.488053163030525e-05,6.297855286117908e-05,0.00012174626141807544,9.335056009109269e-05,7.313287483890637e-05,0.00013273242889375633,0.00016254922970384783,7.061443536342341e-05,6.010425175191563e-05,0.00012251586826753097,8.988315388329695e-05,-5.446966943644518e-06,8.441267603068138e-05,5.2240031015048414e-05,8.797145823075727e-05,2.3761541037916818e-05,0.0002996765725911345,6.990688919051021e-05,0.0001399025171462989,0.00029874148501810813,0.00013199004913767073,0.0001000334367066774,0.00033681441419024715,2.6106131874697737e-05,0.0003236116430511531,5.207811085841039e-05,0.0001153886992989944,0.00010846347635674375,0.0003262824001165561,9.126194517228571e-05,0.00010824537627810136,0.0002502407159207077,0.00036433260778126415,0.00027148855901404633,8.976810310313177e-05,2.2068660066068385e-05,2.1886059950357396e-05,0.0002335975168532704,0.0003422331702924059,7.004101646595322e-05,2.007435312872704e-05,0.00042497285296761215,0.00010365230652923104,0.00012493458340697577,0.00010762930592142873,0.00020496944973598928,8.267000729642373e-05,0.00012303004818197265,6.652675332764302e-05,7.784193968150996e-06,0.00028310221618981353,6.831575901577422e-05,8.394776135738507e-05,6.681603392717032e-05,0.00024025360524076411,0.00011751183108375654,0.00021784725146783927,2.1684850038401722e-05,8.911316764298779e-05,0.00024424256658626227,0.0002615277316966184,2.7484651500954425e-05,0.0001719039345709684,1.8351517015955836e-05,5.154171226529892e-05,0.00014743555723576566,0.00010197113067868432,-9.19091485572852e-06,0.00014803673249622878
