Company,Adani Enterprises,Adani Green Energy,Adani Ports,Apollo Hospitals,Asian Paints,Axis Bank,Bajaj Auto,Bajaj Finance,Bajaj Finserv,Bharat Petroleum,Bharti Airtel,Britannia Industries,Cipla,Coal India,Divi's Laboratories,Dr. Reddy's Laboratories,Eicher Motors,Grasim Industries,HCL Technologies,HDFC Bank,HDFC Life Insurance,Hero MotoCorp,Hindalco Industries,Hindustan Unilever,ICICI Bank,ITC,IndusInd Bank,Infosys,JSW Steel,Kotak Mahindra Bank,Larsen & Toubro,Mahindra & Mahindra,Maruti Suzuki,NTPC,Nestle India,Oil & Natural Gas Corporation,Power Grid Corporation,Reliance Industries,SBI Life Insurance,Shree Cement,State Bank of India,Sun Pharmaceutical,Tata Consultancy Services,Tata Motors,Tata Steel,Tech Mahindra,Titan Company,UPL,UltraTech Cement,Wipro
Adani Enterprises,0.00155799199046988,0.000762207476470768,0.0008570142597933369,7.069079722247895e-05,9.561605214785738e-05,0.00010264025150174419,8.415728627706073e-05,0.00015610151137073223,0.00015845900666208298,0.00022650486609969206,8.48538151325103e-05,1.3627867577797714e-05,2.6832241179841177e-05,0.0002182271532659691,8.002110985408374e-05,3.509455674022331e-05,0.00013833130959746195,0.00012113107574401732,6.805357725058606e-05,0.00010753172907252015,0.00018203372330278823,9.763188815429084e-05,0.0001280106888097936,-5.501188779383419e-06,0.00010168866946102013,1.1458744826432338e-05,0.0001728740487701969,5.428801286124393e-05,0.00015909691529811097,8.004131307242583e-05,0.0001430320801704411,0.0001623415603629176,0.00010378431270847616,0.0002156338310487996,3.5259547694366336e-05,0.0002015475468724251,0.0001485744661959563,0.00016845108008366506,0.00015204542034308663,9.01320568479564e-05,0.0002630901438897863,6.0637224658259514e-05,5.739405884424009e-05,0.000136100185821965,0.00014659683867463745,7.857465095394881e-05,9.637091168066785e-05,0.0001900107707414531,0.00011957635176120577,8.562734897997114e-05
Adani Green Energy,0.000762207476470768,0.001405734175497558,0.0005184816741305761,1.3612407419261298e-05,5.6417169588629413e-05,7.193812281303374e-05,6.392982715832358e-05,5.0976235240235956e-05,5.917913432265699e-05,0.00021308557367141445,9.992907474218523e-05,1.248005030406171e-05,3.853408658262296e-05,0.0001668034711228948,6.699904565227263e-05,1.0172123501094361e-05,8.883780002125842e-05,9.100598483307189e-05,1.659888877027998e-05,7.558123751427376e-05,5.0735614807203806e-05,8.47524472501228e-05,0.00013320917603223303,-1.192945795714492e-05,9.212595897862575e-05,1.6825511404734616e-05,0.00011981265695050216,1.0193898686923251e-05,0.00012863965417597093,7.507436401250893e-05,0.00015150032348929654,9.277227580465404e-05,6.647510400657148e-05,0.00016849923369149458,2.5561735930512762e-05,0.00020076747929661986,0.00014820888075277251,0.00010720427263779516,6.365350123015277e-05,9.032471376699791e-05,0.000170114237209132,5.597277048946908e-05,1.2942731925084965e-05,0.00011434451098477655,0.00014379521232616132,4.881220763079391e-05,3.866553862457373e-05,9.831224779959844e-05,8.997101993891805e-05,4.921047650256812e-05
Adani Ports,0.0008570142597933369,0.0005184816741305761,0.0007640497126362233,6.594935650067784e-05,7.137976763808492e-05,0.00011897902363590973,5.938298231493362e-05,0.00013842944495133898,0.0001421467012855653,0.00021366275467312696,8.842563844326574e-05,2.5330785556485837e-05,2.711122724930403e-05,0.00020346947388537578,2.9452893626963953e-05,2.949682152200187e-05,8.688746802483026e-05,0.00011722431418679056,5.812756378124771e-05,0.00010365872627713365,0.00012749831464453501,9.042892757660191e-05,0.00012703547992271155,1.2296823002901703e-05,0.00010462650217691638,3.4691431162099795e-05,0.0001738607956738327,4.907730582344397e-05,0.00013598237741362473,8.28318442117105e-05,0.00015109976207514566,0.00013698554205174792,8.711730683764152e-05,0.0002175719810004427,2.442873484928934e-05,0.00020548503397704038,0.00018129543460937555,0.00014282107591317552,0.00013049611240327388,8.678331534001923e-05,0.0002409827286816282,6.33743077587701e-05,4.2207361663747464e-05,0.00011360617620935136,0.00014575139691097374,5.8326053817484774e-05,0.00010126643215230271,0.0001427480546319955,0.0001193007302591415,8.206422276203204e-05
Apollo Hospitals,7.069079722247895e-05,1.3612407419261298e-05,6.594935650067784e-05,0.00018749785326952417,3.964187739005938e-05,2.821484330035014e-05,4.2282138384421495e-05,4.4720960890412626e-05,4.223777725402252e-05,4.327606299878689e-05,3.343318250519961e-05,3.4003333380624166e-05,4.6991803197200716e-05,4.725733478323752e-05,5.832853411496467e-05,3.619223452848606e-05,4.63585262123463e-05,4.700444513004397e-05,3.807137400203183e-05,1.5852247010722325e-05,2.55788068334832e-05,4.2441981540534576e-05,2.6204041966219303e-05,2.0054583382789194e-05,1.9049497912810893e-05,2.4427215123748396e-05,2.427617855314776e-05,1.9839397997354245e-05,5.1459844470567316e-05,2.7857245646724934e-05,3.855576317618558e-05,5.339463170787024e-05,2.535918613938826e-05,4.010575907216181e-05,3.698103902185964e-05,3.897761105056765e-05,4.833389309476417e-05,4.0149277602556175e-05,2.9595130627616553e-05,2.90975720575161e-05,3.890857927538606e-05,4.2559352535027575e-05,1.863093429326746e-05,4.6355282959814046e-05,4.9016922798387894e-05,4.364787008173154e-05,4.0100885513229575e-05,6.128982202585418e-05,4.334294871286859e-05,4.252059284122143e-05
Asian Paints,9.561605214785738e-05,5.6417169588629413e-05,7.137976763808492e-05,3.964187739005938e-05,0.0001430062242809834,1.716754000216525e-05,2.306498709616022e-05,5.470965234872543e-05,4.3928086181048765e-05,4.249379683227491e-05,1.760296224691405e-05,5.720795121933087e-05,1.803209405045161e-05,3.1250877300188835e-05,4.355791943651111e-05,8.791656925114344e-06,3.7155832299786754e-05,4.566404987808813e-05,1.8586856056469182e-05,3.0696099131334874e-05,3.3213399394829657e-05,2.748918474585226e-05,2.0232587901746198e-05,4.170216142664422e-05,2.1338950058392896e-05,2.8053449710596545e-05,4.225612587612964e-05,2.1815939472778486e-05,3.551510651577645e-05,2.8804753465768395e-05,2.8817154580386162e-05,2.2917796733760368e-05,3.080070818994595e-05,3.84308223637737e-05,3.966671906635777e-05,2.1782739406892728e-05,2.176852568158821e-05,3.763225892320777e-05,3.0943057861490554e-05,2.4705143861566402e-05,2.0199629265314726e-05,2.1021953027862096e-05,2.6512196007655127e-05,1.526717989808385e-05,3.141610553846088e-05,2.885883544916119e-05,4.407524244082302e-05,6.025948173750654e-05,3.401899264837105e-05,2.4249244461075072e-05
Axis Bank,0.00010264025150174419,7.193812281303374e-05,0.00011897902363590973,2.821484330035014e-05,1.716754000216525e-05,0.00019038900369258095,4.1356184651288693e-05,6.586404230973049e-05,7.081663869420043e-05,5.2359162536520794e-05,4.198695397370271e-05,1.755386017896952e-05,1.917149661320919e-05,8.180871078707281e-05,1.814520603723054e-05,1.043995610745922e-05,5.5946234074091737e-05,6.319486683473412e-05,2.4613299284863984e-05,6.802752051272335e-05,4.7129114396748756e-05,3.4582228633333486e-05,5.726959684712783e-05,1.3104348174023157e-05,9.397746906896603e-05,3.190276526175045e-05,9.116947525311762e-05,2.145891590274525e-05,6.831304048525882e-05,5.153844897718129e-05,6.703785935887853e-05,6.367836762025005e-05,4.303180836508028e-05,8.006812943625926e-05,2.0407888922505167e-05,7.831562089183058e-05,5.722989413231216e-05,7.187835343277903e-05,4.517727271646707e-05,3.3796807065293386e-05,0.000109741297262031,1.5902742545501867e-05,2.6081245599327123e-05,5.396120513872821e-05,7.418052511944505e-05,2.53778134434989e-05,3.162481023428341e-05,6.809525086687392e-05,5.890859480535084e-05,4.3820964443277726e-05
Bajaj Auto,8.415728627706073e-05,6.392982715832358e-05,5.938298231493362e-05,4.2282138384421495e-05,2.306498709616022e-05,4.1356184651288693e-05,0.0002541136752169565,3.71300320101918e-05,4.106855884937862e-05,5.874870403757231e-05,4.9677645660936e-05,2.160976599974849e-05,1.2249320028744237e-05,6.47215712192293e-05,4.137332752425891e-05,2.750782430576664e-05,6.810645535734661e-05,4.2305383958070154e-05,2.6371997207089892e-05,2.9658216067252445e-05,4.360186209045462e-05,9.898450784540722e-05,5.2429551137518614e-05,2.0849034943061197e-05,1.3363557033471785e-05,3.0366896218468064e-05,5.073047523089649e-05,6.284352965527465e-06,5.486292786870021e-05,1.765520501842352e-05,4.466911461021232e-05,7.850593110998323e-05,6.512925349104819e-05,5.5855678965990696e-05,3.345877043137559e-05,5.575945300446146e-05,4.427284332560358e-05,4.2348832676436796e-05,4.185415893147067e-05,2.4186305487088078e-05,3.373993090401199e-05,2.8248281237943593e-05,1.1658586793642904e-05,8.620958212737674e-05,7.088262519107577e-05,1.1684754839659598e-05,3.848902561614898e-05,6.020168258224753e-05,4.4542055092389867e-05,2.1776107434392108e-05
Bajaj Finance,0.00015610151137073223,5.0976235240235956e-05,0.00013842944495133898,4.4720960890412626e-05,5.470965234872543e-05,6.586404230973049e-05,3.71300320101918e-05,0.0002464062024795082,0.00016685814039148948,5.939197608875687e-05,4.6805932899306176e-05,3.141868192864984e-05,7.461772430258668e-06,6.594884091908984e-05,1.4146355544325838e-05,1.0696844474037372e-05,3.0294976307239993e-05,6.844058179002284e-05,3.661643688659103e-05,6.0485241897326965e-05,6.216300196441532e-05,3.907165338768391e-05,5.815413113887694e-05,1.7972901158877453e-05,5.896066435888789e-05,3.505875672978795e-05,9.799059540800025e-05,4.4324461073337724e-05,7.118958361186657e-05,5.749953822129709e-05,6.0457572037868016e-05,6.60980253158206e-05,4.5056243868031777e-05,7.27373878647034e-05,3.644841456958394e-05,7.288430017643283e-05,4.511513198954307e-05,6.931773414712262e-05,6.753928845243204e-05,3.911463203602446e-05,8.877334819199618e-05,2.5644360747005273e-05,3.919981531959361e-05,4.590008234148197e-05,7.125397604839677e-05,4.271763507335563e-05,6.133477807283571e-05,8.230082859403687e-05,7.387226578122056e-05,5.27847144481887e-05
Bajaj Finserv,0.00015845900666208298,5.917913432265699e-05,0.0001421467012855653,4.223777725402252e-05,4.3928086181048765e-05,7.081663869420043e-05,4.106855884937862e-05,0.00016685814039148948,0.00019603344862257626,7.375267517103145e-05,3.675332347220146e-05,2.628152522533943e-05,1.8183393364587606e-05,6.877294552906368e-05,1.8176434057244368e-05,2.467730871876699e-05,3.825451786315654e-05,6.857840984851773e-05,4.1409649137345814e-05,5.4518409420497276e-05,7.40677324855882e-05,5.0953010286049185e-05,6.497830982986207e-05,1.6209196160802306e-05,6.067260155718247e-05,2.7692251536438727e-05,0.0001058014415048622,4.7248323189917434e-05,7.290157584771057e-05,4.799899204973491e-05,5.951947343338252e-05,7.929280416389739e-05,4.8902326658694655e-05,7.668518840971784e-05,3.214581044618785e-05,7.167293942010627e-05,5.448947785448678e-05,6.398913160129766e-05,8.218164865796552e-05,3.902694634975554e-05,9.683514299434021e-05,2.6859729639342063e-05,4.1172342677849826e-05,6.612506381175259e-05,7.870854336258461e-05,3.9025236913016325e-05,6.863088600341698e-05,7.760804746100304e-05,6.717717207483225e-05,5.7408742772550047e-05
Bharat Petroleum,0.00022650486609969206,0.00021308557367141445,0.00021366275467312696,4.327606299878689e-05,4.249379683227491e-05,5.2359162536520794e-05,5.874870403757231e-05,5.939197608875687e-05,7.375267517103145e-05,0.0003599749049379752,4.842637750903193e-05,1.6285204495607735e-05,1.4801929229979632e-05,0.0001788880128530625,4.186323086496235e-05,3.211887711817878e-05,6.003271919647205e-05,8.205720876546876e-05,2.5286871408581335e-05,4.6850332355191566e-05,4.768313665228073e-05,6.841341728937892e-05,9.862650775156782e-05,1.876132164198844e-05,3.973544628359421e-05,3.326036087864056e-05,9.078572469444168e-05,2.297246982766617e-05,8.586735821850123e-05,3.3131515164956814e-05,0.0001116301043251769,8.597934089789018e-05,5.1703280717475425e-05,0.00016578256733516212,2.3297704555996394e-05,0.00018721974524445236,0.00015154968120557855,9.60602093115395e-05,5.927217830380855e-05,4.020443833557897e-05,0.00014542775109883696,3.757639806903003e-05,3.396138208373808e-05,0.00011360998761910817,0.00011691254800613043,4.4810150923618214e-05,6.028817298785532e-05,8.271961054493687e-05,8.296055682859863e-05,5.271463241762632e-05
Bharti Airtel,8.48538151325103e-05,9.992907474218523e-05,8.842563844326574e-05,3.343318250519961e-05,1.760296224691405e-05,4.198695397370271e-05,4.9677645660936e-05,4.6805932899306176e-05,3.675332347220146e-05,4.842637750903193e-05,0.00016594763135278982,2.3109045171409458e-05,2.217992343312013e-05,6.0930333804710043e-05,2.231764872258484e-05,2.5806523383271527e-05,5.265599000454984e-05,4.8752312307362246e-05,4.118906407916149e-05,3.644705945712983e-05,3.282846501006902e-05,3.490484554482234e-05,6.109381021475463e-05,2.110595103361673e-05,4.9094306716454055e-05,3.4040875694658936e-05,5.136682493268809e-05,4.618797887412956e-05,5.9592566948306534e-05,5.593798882679309e-05,5.6018438760249925e-05,5.5955382434650654e-05,4.7005281704009804e-05,5.914134883870211e-05,1.8221290069324636e-05,7.019066812328077e-05,4.819618241955962e-05,5.719008809487261e-05,4.6025906727401455e-05,2.6743344643838233e-05,5.3915942641198145e-05,3.402786880093459e-05,3.0423919423537437e-05,4.862555717117407e-05,5.921458939798523e-05,4.543527193462749e-05,3.9768762326495186e-05,5.780257893413287e-05,4.567128472148182e-05,4.471687482091978e-05
Britannia Industries,1.3627867577797714e-05,1.248005030406171e-05,2.5330785556485837e-05,3.4003333380624166e-05,5.720795121933087e-05,1.755386017896952e-05,2.160976599974849e-05,3.141868192864984e-05,2.628152522533943e-05,1.6285204495607735e-05,2.3109045171409458e-05,0.00014700125637419825,2.047278782779272e-05,1.2230418431015532e-05,2.74278083672373e-05,2.197215710241179e-05,2.0263119057369946e-05,3.112916737097264e-05,2.1838529366477025e-05,8.088121421143637e-06,1.3780813142701954e-06,3.0502753213933404e-05,1.6150953263110585e-05,6.576446814974255e-05,7.997706926988064e-06,5.3563783339140226e-05,2.79934151907081e-05,1.5508824671040584e-05,2.6833793545455406e-05,3.405226183724266e-05,1.716597160757144e-05,2.7675985936865487e-05,2.35939005543802e-05,1.1232289670247966e-05,6.479655727757155e-05,4.332837771287243e-06,-1.5183538424735886e-06,2.5010045615112002e-05,1.4468801957282199e-05,2.655007780059971e-05,6.390980104092501e-06,2.2241654336631352e-05,2.014457959235891e-05,1.7756538719776055e-05,1.6330500057948037e-05,1.9460448801915794e-05,1.038553339241721e-05,2.581750512593905e-05,2.3776908428572994e-05,2.7321523772751335e-05
Cipla,2.6832241179841177e-05,3.853408658262296e-05,2.711122724930403e-05,4.6991803197200716e-05,1.803209405045161e-05,1.917149661320919e-05,1.2249320028744237e-05,7.461772430258668e-06,1.8183393364587606e-05,1.4801929229979632e-05,2.217992343312013e-05,2.047278782779272e-05,0.0002298585444784873,2.5072320987672003e-05,6.876219450183145e-05,6.666681327099553e-05,1.403143020999193e-05,2.4700929392282176e-05,1.1859278318033013e-05,1.2639631082720554e-06,1.1745524809558895e-05,3.305537812901326e-05,2.7017002828173916e-05,8.87291383083469e-06,1.1505874178159848e-05,1.9072359464434567e-05,1.687141460178545e-05,1.746351125111528e-05,2.7026159800095514e-05,9.341729609332768e-06,3.3196543552291974e-05,2.6564369302730007e-05,1.58453900609826e-05,2.558867103462578e-05,1.4819633923840436e-05,1.645096657871873e-05,2.64268705503309e-05,1.623964474355112e-05,2.8712723055501678e-05,9.520744836541686e-06,9.822074372222085e-06,6.105478940821888e-05,1.7259253758098747e-05,1.871126472416363e-05,2.785736528109927e-05,1.156073319000905e-05,1.6081657845889546e-05,3.614022132913781e-05,1.6069144302983084e-05,2.0843392999582025e-05
