Company,Advanced Micro Devices,Alphabet Inc,Amazon.com Inc,Apple Inc,Asian Paints,BSE Ltd,Bajaj Finance,Bharti Airtel,Bitcoin,Cardano,Dixon Technologies,Dogecoin,Ethereum,HDFC Bank,Hindustan Unilever,ICICI Bank,Indian Energy Exchange,Infosys,Intel Corporation,Meta Platforms Inc,Microsoft Corporation,NVIDIA Corporation,Netflix Inc,Reliance Industries,Solana,Tanla Platforms,Tata Consultancy Services,Tesla Inc,Wipro
Advanced Micro Devices,0.0006158880872946254,0.00014685929854369982,0.00016906867100171773,9.408702698657851e-05,-4.592874539120447e-06,2.5790341415863576e-06,1.8033833862689078e-05,9.096636845645796e-06,9.632148981122748e-05,0.0001512730708380217,5.446672037101711e-05,0.00015754358433480364,0.0001422407077951784,4.57873895937518e-06,8.381253037607963e-06,2.3821472143823727e-05,7.686538257073999e-06,2.1686446407991307e-05,0.00023485929942568316,0.00020447189315723859,0.00013706106686160502,0.0004077187071213984,0.00015975581337124758,2.2492553598150947e-05,0.00020068102630109644,-3.957872910273871e-05,1.4775239937135456e-05,0.00022733079319594787,4.286977857524146e-06
Alphabet Inc,0.00014685929854369982,0.00023354567839659038,0.0001408657815163866,7.551768784906254e-05,-3.2908622401306632e-06,3.0317483536977058e-05,-4.603243094986347e-06,-1.2521159309659856e-06,6.062092351958935e-05,8.80797393007426e-05,1.2180785600303387e-05,6.509456307149824e-05,8.86259802718249e-05,4.535388937261612e-06,-8.733771982407163e-07,1.2777297412921625e-05,1.9657202696148692e-05,8.781420821390497e-06,8.649856267546648e-05,0.00015589168706871533,9.729552842097981e-05,0.00014665618737627053,8.575281320556415e-05,5.548549048893671e-06,0.00012022731172273871,5.4939868592557405e-06,4.508941452702138e-06,0.00013607544452925058,7.861022095571273e-06
Amazon.com Inc,0.00016906867100171773,0.0001408657815163866,0.00025682055110631927,6.993453648322358e-05,-3.480690303737142e-06,2.6007141231180864e-05,-2.2571687934488054e-06,-2.6930052636469596e-06,6.985376869071309e-05,0.00010931145223347526,1.1381232408204615e-05,8.908434272573057e-05,7.80025705746469e-05,-2.9078821596484993e-06,4.408458353987861e-06,1.7702596701126e-05,2.4716936685187538e-06,1.2691644872441436e-05,0.00015005637080412878,0.00018660045083757296,0.00011831400789338448,0.00017349083906206472,0.00010934345913426237,1.9573413414083376e-05,0.0001119842177661109,1.0478621868572684e-05,1.6442273358631036e-05,0.00016720840855002765,1.9808169061626736e-05
Apple Inc,9.408702698657851e-05,7.551768784906254e-05,6.993453648322358e-05,0.00012493569027397048,1.6478258683481427e-07,-5.81824866317418e-06,1.078414777641009e-05,5.75535782519263e-07,3.624708714285177e-05,6.098142543163455e-05,-1.2292837205502759e-06,5.0324746769418046e-05,3.8471577341873946e-05,8.932530080879584e-07,7.070634560518491e-07,1.3814150773270649e-05,-2.7476950190699922e-06,3.219924849247684e-06,7.334987148538336e-05,8.595612297365516e-05,6.719740026013205e-05,0.0001026012496656095,7.137804422098829e-05,3.1574628612643256e-06,5.66949138134706e-05,7.159668434534989e-06,1.793084214776975e-06,0.00012868703278526828,2.5543518287342257e-06
Asian Paints,-4.592874539120447e-06,-3.2908622401306632e-06,-3.480690303737142e-06,1.6478258683481427e-07,9.619227140810895e-05,7.932973549117975e-06,3.6839439484133036e-05,1.1717944023302839e-05,-3.6425311352620766e-05,-1.7147637668542024e-05,2.8343200603712365e-05,-4.4977197209164614e-05,-2.5167966563002817e-05,2.0666676029315272e-05,2.8004595753760538e-05,1.4252318715153709e-05,3.840618286042738e-05,1.4595013199556001e-05,4.232161603037777e-06,-5.61426276449057e-06,2.854546629046215e-06,1.7004866606345327e-06,-3.983700541797641e-06,2.52371237605128e-05,-4.632407345887321e-05,3.085012648017387e-05,1.7890629808537618e-05,-8.57626923413745e-06,1.628226557497821e-05
BSE Ltd,2.5790341415863576e-06,3.0317483536977058e-05,2.6007141231180864e-05,-5.81824866317418e-06,7.932973549117975e-06,0.0007166730788167861,3.8197958643016606e-05,2.868514429875064e-05,1.752267119881625e-05,-8.224370620138305e-06,0.00012072057493235124,6.282167286494285e-05,1.6427139197969873e-05,4.257741419859943e-05,3.8381917983057925e-06,1.8309649589716412e-05,0.00013100663822771585,6.533103544292289e-06,5.019854157761147e-05,3.418629445732924e-05,1.0200598962314792e-05,1.0444809264612618e-05,2.8529140284326674e-05,4.1036780315543834e-05,1.1144544086941378e-05,7.496831966234522e-05,7.5760409886163994e-06,-2.6357842966902263e-05,4.144624647127719e-05
Bajaj Finance,1.8033833862689078e-05,-4.603243094986347e-06,-2.2571687934488054e-06,1.078414777641009e-05,3.6839439484133036e-05,3.8197958643016606e-05,0.0001656654023420688,3.1511820710898707e-05,7.997403224813902e-06,3.6011077395288107e-05,4.871425540299667e-05,4.998438492287864e-05,8.122033983204749e-06,4.063040308241011e-05,1.2154827768797686e-05,3.971814363146832e-05,6.38722538613796e-05,2.9860469986451323e-05,2.5606289898621556e-05,3.316271147651556e-06,1.0084251434495854e-05,3.3547493709092657e-06,-1.8330680662176966e-06,4.6712207377044725e-05,1.1030310341964091e-05,3.362513444974845e-05,2.6235304027196087e-05,4.0866281063125523e-05,3.545105349981617e-05
Bharti Airtel,9.096636845645796e-06,-1.2521159309659856e-06,-2.6930052636469596e-06,5.75535782519263e-07,1.1717944023302839e-05,2.868514429875064e-05,3.1511820710898707e-05,0.00011207510883558417,-3.602725266928598e-06,1.3547490538403345e-05,3.2663858500972184e-05,1.0957476499068653e-06,5.049726969267367e-06,2.4578079705294425e-05,1.4212507904613806e-05,3.329727359426858e-05,3.89172142211982e-05,3.128270240055349e-05,2.2319815243886122e-05,1.3773497773258549e-05,1.5477089143615996e-06,8.467598573437407e-06,-8.972152689937528e-06,3.8554815764504264e-05,3.3079676648952413e-06,2.8872724911712476e-05,2.0575769274864017e-05,1.2928015732018868e-05,3.034959261903001e-05
Bitcoin,9.632148981122748e-05,6.062092351958935e-05,6.985376869071309e-05,3.624708714285177e-05,-3.6425311352620766e-05,1.752267119881625e-05,7.997403224813902e-06,-3.602725266928598e-06,0.0006571926610048832,0.0006628844948521913,-1.4013861232198739e-05,0.0008083368730081842,0.0006144086388878563,7.87743108371963e-06,-5.535355014752249e-06,1.543696918933723e-05,-3.081794195244892e-05,-2.852076749394901e-07,9.730994696880842e-05,6.160802870763861e-05,4.8775358856985705e-05,0.0001068162503966741,8.219931232761196e-05,-7.505170721828629e-08,0.0008149577432634131,-1.5160218171719435e-05,5.388983822134657e-06,0.0001688741155848719,1.4159170611999894e-06
Cardano,0.0001512730708380217,8.80797393007426e-05,0.00010931145223347526,6.098142543163455e-05,-1.7147637668542024e-05,-8.224370620138305e-06,3.6011077395288107e-05,1.3547490538403345e-05,0.0006628844948521913,0.001565993743675842,1.151303059887874e-05,0.0011254084081627762,0.0007854756407508443,3.0526649015735725e-05,7.961350475482998e-06,3.5019428462494696e-05,-2.0113805802826715e-05,2.8141095180427884e-05,0.0001741312072357931,0.00011271979072039879,7.448566044612744e-05,0.00014212279777545836,0.00010714322146833673,5.489627180295964e-05,0.0011575178694535448,2.9784987139675206e-05,2.387693016191983e-05,0.00022353409150319516,3.3062675511271116e-05
Dixon Technologies,5.446672037101711e-05,1.2180785600303387e-05,1.1381232408204615e-05,-1.2292837205502759e-06,2.8343200603712365e-05,0.00012072057493235124,4.871425540299667e-05,3.2663858500972184e-05,-1.4013861232198739e-05,1.151303059887874e-05,0.00038444929930454516,3.1893169858553974e-05,9.357417443863819e-06,4.593728459331291e-05,3.6448485463135796e-06,4.868456279845906e-05,0.00010601930722262233,3.4817643530720786e-05,6.885907563192038e-05,1.982824805420323e-06,1.57543851838148e-05,1.9889695077102092e-05,2.373373483080221e-05,6.216831670117175e-05,-2.2306635074815195e-05,8.724686406598743e-05,2.1748791184955807e-05,2.0610039778573773e-05,5.005883718956275e-05
Dogecoin,0.00015754358433480364,6.509456307149824e-05,8.908434272573057e-05,5.0324746769418046e-05,-4.4977197209164614e-05,6.282167286494285e-05,4.998438492287864e-05,1.0957476499068653e-06,0.0008083368730081842,0.0011254084081627762,3.1893169858553974e-05,0.001991687764734993,0.000849131734895102,1.65349018955814e-05,7.932177840540977e-06,4.573183166039234e-05,-6.000303469915648e-07,8.852981165729263e-06,0.0001651522419806213,5.859427480649623e-05,7.244304060922815e-05,0.000134304954983973,0.00010939272601607126,2.2578143572945355e-05,0.001131452249088203,4.044151796421131e-05,2.3014800238461844e-05,0.00020492169195867265,2.5831206613197177e-05
